ID,Type,REF,Name,Parent,SKU
29705,variation,CE_DG122,"Dogue Stud Muffin Dog Collars - Black, 40cm",C_DGUESMC,DG122
29706,variation,CE_DG123,"Dogue Stud Muffin Dog Collars - Black, 45cm",C_DGUESMC,DG123
29708,variation,CE_DG125,"Dogue Stud Muffin Dog Collars - Black, 55cm",C_DGUESMC,DG125
29709,variation,CE_DG126,"Dogue Stud Muffin Dog Collars - Black, 60cm",C_DGUESMC,DG126
29714,variation,CE_DG131,"Dogue Stud Muffin Dog Collars - Blue, 45cm",C_DGUESMC,DG131
29718,variation,CE_DG135,"Dogue Stud Muffin Dog Collars - Blue, 65cm",C_DGUESMC,DG135
29719,variation,CE_DG136,"Dogue Stud Muffin Dog Collars - Fuchsia, 30cm",C_DGUESMC,DG136
29720,variation,CE_DG137,"Dogue Stud Muffin Dog Collars - Fuchsia, 35cm",C_DGUESMC,DG137
29728,variation,CE_DG141,"Dogue Stud Muffin Dog Collars - Fuchsia, 55cm",C_DGUESMC,DG141
29730,variation,CE_DG143,"Dogue Stud Muffin Dog Collars - Fuchsia, 65cm",C_DGUESMC,DG143
29731,variation,CE_DG153,"Dogue Stud Muffin Dog Collars - Red, 35cm",C_DGUESMC,DG153
29732,variation,CE_DG154,"Dogue Stud Muffin Dog Collars - Red, 40cm",C_DGUESMC,DG154
29735,variation,CE_DG157,"Dogue Stud Muffin Dog Collars - Red, 55cm",C_DGUESMC,DG157
29737,variation,CE_DG159,"Dogue Stud Muffin Dog Collars - Red, 65cm",C_DGUESMC,DG159
29750,variation,CE_DG500,Dog Gone Smart Dirty Dog Doormats Bermuda Blue - 58 x 41cm,C_DGSDMBB,DG500
29747,variation,CE_DG501,Dog Gone Smart Dirty Dog Doormats Mist Grey - 58 x 41cm,C_DGSDMG,DG501
29741,variation,CE_DG502,Dog Gone Smart Dirty Dog Doormats Mocha Brown - 58 x 41cm,C_DGSDMB,DG502
29751,variation,CE_DG503,Dog Gone Smart Dirty Dog Doormats Bermuda Blue - 79 x 50cm,C_DGSDMBB,DG503
29748,variation,CE_DG504,Dog Gone Smart Dirty Dog Doormats Mist Grey - 79 x 50cm,C_DGSDMG,DG504
29742,variation,CE_DG505,Dog Gone Smart Dirty Dog Doormats Mocha Brown - 79 x 50cm,C_DGSDMB,DG505
29752,variation,CE_DG506,Dog Gone Smart Dirty Dog Doormats Bermuda Blue - 89 x 66cm,C_DGSDMBB,DG506
29749,variation,CE_DG507,Dog Gone Smart Dirty Dog Doormats Mist Grey - 89 x 66cm,C_DGSDMG,DG507
29743,variation,CE_DG508,Dog Gone Smart Dirty Dog Doormats Mocha Brown - 89 x 66cm,C_DGSDMB,DG508
28746,variation,CE_E0090,Endogard Allwormer Tablets for Dogs - Medium (5-10kg) 50 Pack,C_END,E0090
28748,variation,CE_E0095,Endogard Allwormer Tablets for Dogs - Large (10-20kg) 50 Pack,C_END,E0095
28872,variation,CE_E0194,Vetafarm Predamax - 200g,C_VPRDMX,E0194
28744,variation,CE_E0901,Endogard Allwormer Tablets for Dogs - Small &lt;5kg 4 Pack,C_END,E0901
28745,variation,CE_E0904,Endogard Allwormer Tablets for Dogs - Medium (5-10kg) 4 Pack,C_END,E0904
28747,variation,CE_E0907,Endogard Allwormer Tablets for Dogs - Large (10-20kg) 3 Pack,C_END,E0907
28749,variation,CE_E0911,Endogard Allwormer Tablets for Dogs - Xlarge (35kg+) 2 Pack,C_END,E0911
28774,variation,CE_E1200,Epi Otic Ear Cleaner for Cats and Dogs - 120ml,C_EPIO,E1200
28775,variation,CE_E2340,Epi Otic Ear Cleaner for Cats and Dogs - 237ml,C_EPIO,E2340
28776,variation,CE_E2360,Epi Otic Ear Cleaner for Cats and Dogs - 500ml,C_EPIO,E2360
29153,variation,CE_E2550,Equinade Pure Stockholm Tar - 1 Litre,C_EPST,E2550
28733,variation,CE_E2901,Razor Horse Wormer Paste 30ml - Single 30ml,C_RAZHW,E2901
28276,variation,CE_E6021,Vetafarm Equilax - 1.5kg,C_VEFA,E6021
28277,variation,CE_E6025,Vetafarm Equilax - 6kg,C_VEFA,E6025
28862,variation,CE_E8940,Vetafarm Ezy Feeders - Small,C_VEZF,E8940
29144,variation,CE_E9000,Equinade Original Leather & Saddle Oil - 5 Litre,C_EOLSO,E9000
29149,variation,CE_E9230,Equinade Hoof Greese - 400g,C_EHG,E9230
29152,variation,CE_E9250,Equinade Pure Stockholm Tar - 400ml,C_EPST,E9250
29151,variation,CE_E9270,Equinade Hoof Greese - 2kg,C_EHG,E9270
29147,variation,CE_E9290,Equinade Hoof Lube - 500ml,C_EHL,E9290
29150,variation,CE_E9300,Equinade Hoof Greese - 1kg,C_EHG,E9300
